FIPS,County,Month,CasesCount,TestsPer100K,ActiveCase,DeathCount
48001,Anderson,January,55215,48508,496,86
48001,Anderson,February,133466,52924,218,106
48001,Anderson,March,148877,57308,39,112
48001,Anderson,April,142644,61842,49,119
48001,Anderson,May,148385,65879,185,125
48001,Anderson,June,143764,69349,100,132
48001,Anderson,July,147685,72846,42,133
48001,Anderson,August,146775,79966,203,138
48001,Anderson,September,147122,90278,846,170
48001,Anderson,October,156136,100260,608,197
48003,Andrews,January,19576,5265,210,40
48003,Andrews,February,46920,5877,153,46
48003,Andrews,March,53099,6424,36,48
48003,Andrews,April,53985,7023,48,48
48003,Andrews,May,56552,7524,12,48
48003,Andrews,June,55131,7786,6,48
48003,Andrews,July,57683,8221,17,48
48003,Andrews,August,61547,8896,89,49
48003,Andrews,September,72453,9739,297,52
48003,Andrews,October,85807,10554,148,55
48005,Angelina,January,50416,53841,884,208
48005,Angelina,February,125891,65244,566,255
48005,Angelina,March,145937,75136,236,271
48005,Angelina,April,144883,84467,180,278
48005,Angelina,May,152663,94379,98,282
48005,Angelina,June,148976,98934,56,287
48005,Angelina,July,155565,103310,107,288
48005,Angelina,August,168556,112050,882,304
48005,Angelina,September,186283,127841,1301,354
48005,Angelina,October,206983,139666,512,398
48007,Aransas,January,8429,10156,141,29
48007,Aransas,February,22961,12299,105,35
48007,Aransas,March,27497,14176,39,36
48007,Aransas,April,28176,15816,31,38
48007,Aransas,May,29747,16996,10,41
48007,Aransas,June,29301,17986,12,41
48007,Aransas,July,31818,19788,60,42
48007,Aransas,August,40602,22656,218,49
48007,Aransas,September,53772,25907,313,59
48007,Aransas,October,61484,28551,93,65
48009,Archer,January,7751,2840,13,9
48009,Archer,February,18675,3429,2,11
48009,Archer,March,21054,3740,1,12
48009,Archer,April,20551,3954,1,12
48009,Archer,May,21452,4133,2,12
48009,Archer,June,20880,4261,0,12
48009,Archer,July,21686,4358,2,12
48009,Archer,August,23180,4606,20,13
48009,Archer,September,26777,5234,22,15
48009,Archer,October,31822,5875,18,19
48011,Armstrong,January,1151,692,20,6
48011,Armstrong,February,2923,873,7,6
48011,Armstrong,March,3374,1012,1,6
48011,Armstrong,April,3812,1147,4,6
48011,Armstrong,May,4467,1262,0,6
48011,Armstrong,June,4502,1306,1,6
48011,Armstrong,July,4753,1441,3,7
48011,Armstrong,August,5155,1871,7,7
48011,Armstrong,September,5311,2070,7,7
48011,Armstrong,October,5807,2311,8,7
48013,Atascosa,January,39736,31412,342,107
48013,Atascosa,February,107742,46284,156,138
48013,Atascosa,March,127651,53722,46,148
48013,Atascosa,April,127211,63380,20,151
48013,Atascosa,May,134792,71618,23,151
48013,Atascosa,June,133378,75897,23,152
48013,Atascosa,July,140494,78361,60,153
48013,Atascosa,August,159719,83980,267,163
48013,Atascosa,September,183553,94309,325,190
48013,Atascosa,October,203996,104771,89,203
48015,Austin,January,15780,13680,135,21
48015,Austin,February,41273,16280,69,29
48015,Austin,March,50129,18212,52,34
48015,Austin,April,52086,20117,30,34
48015,Austin,May,55793,22587,9,37
48015,Austin,June,54909,23728,4,37
48015,Austin,July,58239,24666,25,38
48015,Austin,August,64741,26466,109,41
48015,Austin,September,73851,29426,160,48
48015,Austin,October,83871,31991,76,52
48017,Bailey,January,6727,1935,25,16
48017,Bailey,February,15995,2098,12,18
48017,Bailey,March,18341,2257,9,19
48017,Bailey,April,18011,2427,1,20
48017,Bailey,May,18836,2604,1,20
48017,Bailey,June,18522,2767,1,20
48017,Bailey,July,19414,2872,2,20
48017,Bailey,August,19785,2992,12,22
48017,Bailey,September,19980,3262,13,25
48017,Bailey,October,21275,3521,9,25
48019,Bandera,January,8689,7691,72,20
48019,Bandera,February,24626,9535,53,25
48019,Bandera,March,28816,11053,13,27
48019,Bandera,April,28819,12512,10,27
48019,Bandera,May,31102,13596,14,28
48019,Bandera,June,31195,14382,8,28
48019,Bandera,July,33104,15154,20,31
