CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations,CountyNames
Anderson,Asian,230,212,438,Anderson
Anderson,Black,4983,4491,9330,Anderson
Anderson,Hispanic,2257,1940,4061,Anderson
Anderson,Other,4153,3714,7885,Anderson
Anderson,Unknown,979,763,1674,Anderson
Anderson,White,12285,10913,22371,Anderson
Andrews,Asian,53,47,105,Andrews
Andrews,Black,69,63,142,Andrews
Andrews,Hispanic,3517,3130,6871,Andrews
Andrews,Other,293,254,565,Andrews
Andrews,Unknown,1217,1117,2364,Andrews
Andrews,White,3209,2820,6277,Andrews
Angelina,Asian,375,336,760,Angelina
Angelina,Black,4467,3944,8634,Angelina
Angelina,Hispanic,7766,6924,14611,Angelina
Angelina,Other,6616,5693,12873,Angelina
Angelina,Unknown,3747,3285,7002,Angelina
Angelina,White,17391,15787,33846,Angelina
Aransas,Asian,276,245,519,Aransas
Aransas,Black,109,91,207,Aransas
Aransas,Hispanic,2673,2306,5044,Aransas
Aransas,Other,2479,2244,5199,Aransas
Aransas,Unknown,767,658,1455,Aransas
Aransas,White,8576,7529,16659,Aransas
Archer,Asian,6,6,12,Archer
Archer,Black,23,21,39,Archer
Archer,Hispanic,252,233,465,Archer
Archer,Other,751,703,1533,Archer
Archer,Unknown,500,435,959,Archer
Archer,White,2623,2431,5112,Archer
Armstrong,Asian,4,4,8,Armstrong
Armstrong,Black,5,4,7,Armstrong
Armstrong,Hispanic,51,43,93,Armstrong
Armstrong,Other,102,91,199,Armstrong
Armstrong,Unknown,108,97,204,Armstrong
Armstrong,White,485,407,908,Armstrong
Atascosa,Asian,115,101,223,Atascosa
Atascosa,Black,141,119,256,Atascosa
Atascosa,Hispanic,11971,10487,22507,Atascosa
Atascosa,Other,4310,3742,8362,Atascosa
Atascosa,Unknown,1335,1086,2425,Atascosa
Atascosa,White,8119,7159,15388,Atascosa
Austin,Asian,113,95,198,Austin
Austin,Black,956,834,1660,Austin
Austin,Hispanic,3377,2855,6010,Austin
Austin,Other,2266,2028,4613,Austin
Austin,Unknown,1026,822,1612,Austin
Austin,White,7613,6855,14133,Austin
Bailey,Asian,12,11,21,Bailey
Bailey,Black,10,10,20,Bailey
Bailey,Hispanic,1160,906,1974,Bailey
Bailey,Other,134,115,244,Bailey
Bailey,Unknown,1001,944,1996,Bailey
Bailey,White,578,481,1068,Bailey
Bandera,Asian,52,47,97,Bandera
Bandera,Black,79,70,151,Bandera
Bandera,Hispanic,1372,1211,2603,Bandera
Bandera,Other,1831,1648,3661,Bandera
Bandera,Unknown,1241,1052,2178,Bandera
Bandera,White,6111,5447,11570,Bandera
Bastrop,Asian,383,332,714,Bastrop
Bastrop,Black,1718,1418,3114,Bastrop
Bastrop,Hispanic,16552,13415,29815,Bastrop
Bastrop,Other,15377,13423,30082,Bastrop
Bastrop,Unknown,4294,3063,7343,Bastrop
Bastrop,White,15477,13320,28788,Bastrop
Baylor,Asian,9,8,18,Baylor
Baylor,Black,23,20,48,Baylor
Baylor,Hispanic,92,72,155,Baylor
Baylor,Other,70,64,139,Baylor
Baylor,Unknown,426,402,837,Baylor
Baylor,White,886,805,1693,Baylor
Bee,Asian,115,99,232,Bee
Bee,Black,937,778,1749,Bee
Bee,Hispanic,5886,5038,11640,Bee
Bee,Other,3135,2546,5994,Bee
Bee,Unknown,2299,1975,4365,Bee
Bee,White,4764,4212,9304,Bee
Bell,Asian,5003,4387,9579,Bell
Bell,Black,24439,20410,44993,Bell
Bell,Hispanic,27731,23710,51644,Bell
