Last_Update,Province_State,MonthNumber,Month,Confirmed,Deaths,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,,
10/31/21,Texas,10,Oct,4238040,71139,14616.00701,35037674,1.678582552,120836.7285,,
10/30/21,Texas,10,Oct,4234996,71075,14605.50897,34970229,1.678277854,120604.1265,,
10/29/21,Texas,10,Oct,4231141,70886,14592.21398,34902172,1.675340056,120369.4138,,
10/28/21,Texas,10,Oct,4224781,70718,14570.27983,34847397,1.673885581,120180.5077,,
10/27/21,Texas,10,Oct,4221302,70486,14558.28157,34777776,1.669769185,119940.4012,,
10/26/21,Texas,10,Oct,4215539,70335,14538.40633,34741887,1.668469916,119816.6284,,
10/25/21,Texas,10,Oct,4210466,70263,14520.91075,34666857,1.668770155,119557.8675,,
10/24/21,Texas,10,Oct,4209200,70202,14516.54461,34582036,1.667822864,119265.3398,,
10/23/21,Texas,10,Oct,4206675,70025,14507.83648,34499860,1.664616354,118981.934,,
10/22/21,Texas,10,Oct,4202418,69795,14493.15508,34433748,1.660829551,118753.9292,,
10/21/21,Texas,10,Oct,4196761,69565,14473.64541,34376956,1.65758784,118558.0669,,
10/20/21,Texas,10,Oct,4191397,69304,14455.14623,34288649,1.653482121,118253.5168,,
10/19/21,Texas,10,Oct,4184467,69103,14431.24629,34226701,1.651417014,118039.8726,,
10/18/21,Texas,10,Oct,4180032,69034,14412.42982,34176828,1.65192195,117867.8723,,
10/17/21,Texas,10,Oct,4178474,68935,14409.49492,34096020,1.649888946,117589.1845,,
10/16/21,Texas,10,Oct,4175460,68723,14400.18325,34027285,1.645878538,117352.1336,,
10/15/21,Texas,10,Oct,4168664,68467,14376.74544,33956026,1.642420689,117106.378,,
10/14/21,Texas,10,Oct,4162922,68245,14356.94263,33889111,1.63935332,116875.6038,,
10/13/21,Texas,10,Oct,4140620,67062,14280.02826,33825800,1.619612522,116657.259,,
10/12/21,Texas,10,Oct,4135512,67044,14262.41196,33484375,1.621177741,115479.7642,,
10/11/21,Texas,10,Oct,4129695,66988,14242.35049,33484375,1.622105264,115479.7642,,
10/10/21,Texas,10,Oct,4129189,66986,14240.60542,33484375,1.622255605,115479.7642,,
10/9/21,Texas,10,Oct,4128119,66983,14236.91524,33484375,1.622603418,115479.7642,,
10/8/21,Texas,10,Oct,4124391,66933,14224.05824,33426782,1.622857775,115281.1394,,
10/7/21,Texas,10,Oct,4116410,66681,14196.53364,33358950,1.619882373,115047.2027,,
10/6/21,Texas,10,Oct,4105397,66318,14158.55238,33281934,1.615385796,114781.5926,,
10/5/21,Texas,10,Oct,4093140,66044,14116.28086,33202003,1.613528978,114505.9293,,
10/4/21,Texas,10,Oct,4084361,65914,14086.00415,33155080,1.613814254,114344.1029,,
10/3/21,Texas,10,Oct,4083305,65785,14082.36225,33038626,1.611072403,113942.4803,,
10/2/21,Texas,10,Oct,4077436,65529,14062.12144,32962976,1.607112901,113681.5812,,
