Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,People_Fully_Vaccinated,People_Partially_Vaccinated
Texas,1/20/21,31.0545,-97.5635,2157459,33032,7440.570611,15935036,1.531060382,54956.20568,179801,1095495
Texas,1/21/21,31.0545,-97.5635,2185554,33491,7537.463683,16076028,1.532380348,55442.45405,203028,1132168
Texas,1/22/21,31.0545,-97.5635,2208871,33942,7617.878553,16202370,1.536622102,55878.17801,205538,1182171
Texas,1/23/21,31.0545,-97.5635,2227789,34381,7683.122303,16321080,1.543279009,56287.58098,230596,1222756
Texas,1/24/21,31.0545,-97.5635,2242473,34725,7733.763978,16405627,1.548513628,56579.16378,251815,1243695
Texas,1/25/21,31.0545,-97.5635,2250421,34911,7761.174768,16561140,1.551309733,57115.49168,259056,1262263
Texas,1/26/21,31.0545,-97.5635,2269424,35090,7826.711663,16629666,1.54620732,57351.8218,270118,1312964
Texas,1/27/21,31.0545,-97.5635,2290621,35420,7899.81515,16738158,1.546305565,57725.98529,301684,1324363
Texas,1/28/21,31.0545,-97.5635,2309220,35877,7963.958743,16837794,1.553641489,58069.60651,324212,1358101
Texas,1/29/21,31.0545,-97.5635,2330272,36292,8036.562159,16949139,1.557414757,58453.60932,373624,1390447
Texas,1/30/21,31.0545,-97.5635,2348188,36650,8098.350245,17073934,1.560777927,58883.99804,413844,1434773
Texas,1/31/21,31.0545,-97.5635,2363266,36924,8150.350734,17263046,1.562414049,59536.20102,452040,1449415
Texas,2/1/21,31.0545,-97.5635,2376344,37074,8195.453692,17399120,1.560127658,60005.48837,478812,1488761
Texas,2/2/21,31.0545,-97.5635,2412627,37245,8320.585258,17504358,1.54375293,60368.42957,502794,1488761
Texas,2/3/21,31.0545,-97.5635,2431687,37619,8386.318733,17605821,1.547032986,60718.35169,526576,1522060
Texas,2/4/21,31.0545,-97.5635,2449535,38039,8447.872303,17694874,1.55290698,61025.47462,564433,1559319
Texas,2/5/21,31.0545,-97.5635,2463424,38453,8495.77221,17846886,1.560957432,61549.72839,621991,1587088
Texas,2/6/21,31.0545,-97.5635,2478003,38893,8546.051765,17922915,1.56952998,61811.9346,670782,1636925
Texas,2/7/21,31.0545,-97.5635,2486505,39182,8575.373171,18034823,1.575786093,62197.87907,734386,1684611
Texas,2/8/21,31.0545,-97.5635,2494861,39322,8604.191057,18072290,1.576119872,62327.09398,779857,1705919
Texas,2/9/21,31.0545,-97.5635,2504578,39482,8637.702714,18220770,1.576393309,62839.16671,806885,1746049
Texas,2/10/21,31.0545,-97.5635,2518333,39799,8685.140486,18301672,1.580370825,63118.17875,843836,1778585
Texas,2/11/21,31.0545,-97.5635,2531060,40148,8729.032927,18414867,1.586212891,63508.56179,893767,1784788
Texas,2/12/21,31.0545,-97.5635,2543236,40535,8771.025098,18506265,1.59383557,63823.77207,960517,1797977
Texas,2/13/21,31.0545,-97.5635,2554842,40901,8811.051473,18605754,1.600920918,64166.88632,1036384,1797496
Texas,2/14/21,31.0545,-97.5635,2564055,41149,8830.195572,18700767,1.607136092,64494.5639,1103754,1810600
Texas,2/15/21,31.0545,-97.5635,2568930,41273,8846.973817,18810731,1.608921988,64873.80397,1159996,1810600
Texas,2/16/21,31.0545,-97.5635,2571723,41336,8856.582078,18810731,1.609629742,64873.80397,1189768,1822550
Texas,2/17/21,31.0545,-97.5635,2574648,41386,8866.631781,18810731,1.60975014,64873.80397,1215236,1810671
Texas,2/18/21,31.0545,-97.5635,2579802,41496,8884.358437,18810731,1.610808284,64873.80397,1249085,1811773
Texas,2/19/21,31.0545,-97.5635,2582111,41630,8892.283701,18810731,1.614569678,64873.80397,1259237,1874616
Texas,2/20/21,31.0545,-97.5635,2587712,41832,8924.412402,19212601,1.616563203,66259.75945,1331268,1874458
Texas,2/21/21,31.0545,-97.5635,2593816,42041,8945.463668,19127832,1.620816588,65967.41103,1367318,1866331
Texas,2/22/21,31.0545,-97.5635,2600660,42162,8969.06702,19165851,1.621203848,66098.52965,1400924,1864713
Texas,2/23/21,31.0545,-97.5635,2606513,42301,8989.252646,19199117,1.622896184,66213.25629,1434295,1837758
Texas,2/24/21,31.0545,-97.5635,2617096,42521,9025.750933,19242281,1.624739788,66362.11881,1492293,1820254
Texas,2/25/21,31.0545,-97.5635,2624852,42831,9052.49956,19303921,1.631749142,66574.70073,1563048,1765135
Texas,2/26/21,31.0545,-97.5635,2632666,43085,9079.448215,19357913,1.636553972,66760.90649,1598951,1757069
Texas,2/27/21,31.0545,-97.5635,2643463,43376,9116.684539,19426513,1.640877894,66997.49182,1682309,1775685
Texas,2/28/21,31.0545,-97.5635,2649363,43519,9137.032256,19488683,1.642621264,67211.90158,1728456,1789786
Texas,3/1/21,31.0545,-97.5635,2653013,43697,9149.620251,19557682,1.647070708,67449.86297,1884890,1794482
Texas,3/2/21,31.0545,-97.5635,2660791,43909,9176.444751,19595211,1.650223561,67579.29169,1885470,1817019
Texas,3/3/21,31.0545,-97.5635,2668091,44186,9201.620741,19643058,1.656090441,67744.30479,2066013,1819263
Texas,3/4/21,31.0545,-97.5635,2675712,44463,9227.903784,19707655,1.661725926,67967.0847,2098647,1850296
Texas,3/5/21,31.0545,-97.5635,2683386,44757,9254.369612,19764177,1.667929996,68162.01584,2174327,1933192
Texas,3/6/21,31.0545,-97.5635,2688975,45047,9273.644764,19820052,1.675248003,68354.71562,2235145,2001683
Texas,3/7/21,31.0545,-97.5635,2692691,45249,9286.460377,19820052,1.680437897,68354.71562,2316297,2036410
Texas,3/8/21,31.0545,-97.5635,2695558,45315,9296.347988,19907384,1.681099053,68655.90323,2351296,2014319
Texas,3/9/21,31.0545,-97.5635,2699083,45411,9308.504887,19907384,1.682460302,68655.90323,2394362,2113979
Texas,3/10/21,31.0545,-97.5635,2704712,45582,9327.917989,19966634,1.685281095,68860.2426,2463005,2201856
Texas,3/11/21,31.0545,-97.5635,2710278,45796,9347.113819,20021752,1.689715963,69050.33167,2541063,2294966
Texas,3/12/21,31.0545,-97.5635,2715993,46007,9366.823515,20105901,1.693929255,69340.54185,2602278,2408919
Texas,3/13/21,31.0545,-97.5635,2721511,46229,9385.853805,20169205,1.698651962,69558.86252,2691427,2516446
Texas,3/14/21,31.0545,-97.5635,2724607,46366,9396.531183,20215388,1.701750014,69718.13686,2832158,2589847
Texas,3/15/21,31.0545,-97.5635,2727462,46423,9406.377409,20287111,1.702058544,69965.49268,2832158,2642719
Texas,3/16/21,31.0545,-97.5635,2731814,46519,9421.386438,20346386,1.702861176,70169.91827,2871034,2703818
Texas,3/17/21,31.0545,-97.5635,2737763,46651,9441.903145,20406104,1.703982412,70375.87166,2902050,2809152
Texas,3/18/21,31.0545,-97.5635,2742274,46827,9457.460527,20456710,1.707597417,70550.3999,2946045,2926051
Texas,3/19/21,31.0545,-97.5635,2745694,47025,9469.255306,20486161,1.712681748,70651.9695,2990796,3020996
Texas,3/20/21,31.0545,-97.5635,2749624,47198,9482.808955,20526908,1.716525605,70792.49635,3036482,3111465
Texas,3/21/21,31.0545,-97.5635,2752279,47298,9491.965428,20619793,1.718503102,71112.83496,3088893,3177490
Texas,3/22/21,31.0545,-97.5635,2754616,47346,9500.025193,20683375,1.718787664,71332.11438,3143362,3198980
Texas,3/23/21,31.0545,-97.5635,2757552,47446,9510.150769,20739846,1.720584054,71526.86963,3196293,3238588
Texas,3/24/21,31.0545,-97.5635,2762270,47527,9526.422046,20793857,1.720577641,71713.14091,3228903,3218545
Texas,3/25/21,31.0545,-97.5635,2766259,47689,9540.179172,20833344,1.723952819,71849.32232,3237521,3301212
Texas,3/26/21,31.0545,-97.5635,2769451,47822,9551.187632,20903330,1.72676823,72090.68764,3345895,3373339
Texas,3/27/21,31.0545,-97.5635,2776370,47947,9575.049642,20971296,1.726967227,72325.08645,3482345,3391463
Texas,3/28/21,31.0545,-97.5635,2779464,48039,9585.720123,21021275,1.728354819,72497.45231,3577806,3415101
Texas,3/29/21,31.0545,-97.5635,2782735,48093,9597.001036,21114389,1.728263741,72818.58068,3684436,3455042
Texas,3/30/21,31.0545,-97.5635,2786219,48134,9609.016536,21159863,1.727574178,72975.40985,3756432,3472956
Texas,3/31/21,31.0545,-97.5635,2789428,48242,9620.083625,21199010,1.729458513,73110.41868,3863664,3503777
Texas,4/1/21,31.0545,-97.5635,2791910,48252,9628.643461,21242085,1.728279207,73258.97427,3973093,3495212
Texas,4/2/21,31.0545,-97.5635,2797010,48495,9646.232167,21242085,1.733815753,73258.97427,4154353,3494420
Texas,4/3/21,31.0545,-97.5635,2799375,48599,9654.388497,21369421,1.736066086,73698.1263,4340937,3513516
Texas,4/4/21,31.0545,-97.5635,2801218,48676,9660.744573,21408181,1.737672684,73831.80045,4468935,3536276
Texas,4/5/21,31.0545,-97.5635,2802225,48697,9664.21748,21534832,1.737797643,74268.59008,4564010,3580573
Texas,4/6/21,31.0545,-97.5635,2806908,48729,9680.36805,21634606,1.736038374,74612.68723,4670842,3573784
Texas,4/7/21,31.0545,-97.5635,2811270,48815,9695.411566,21682763,1.736403832,74778.76944,4796711,3588869
Texas,4/8/21,31.0545,-97.5635,2815110,48918,9708.654826,21736673,1.737694087,74964.6924,4912656,3588031
Texas,4/9/21,31.0545,-97.5635,2819600,49017,9724.139784,21772385,1.738438076,75087.85472,5069262,3618931
Texas,4/10/21,31.0545,-97.5635,2822889,49121,9735.482774,21840056,1.740096759,75321.23614,5264535,3641373
Texas,4/11/21,31.0545,-97.5635,2825551,49188,9744.663389,21899149,1.740828603,75525.03406,5502168,3643580
Texas,4/12/21,31.0545,-97.5635,2826977,49212,9749.581328,21970307,1.740799448,75770.44133,5650179,3642804
Texas,4/13/21,31.0545,-97.5635,2831972,49231,9766.807913,22037982,1.738399956,76003.83654,5758786,3654765
Texas,4/14/21,31.0545,-97.5635,2837160,49289,9784.70011,22072551,1.737265434,76123.05693,5867492,3670432
Texas,4/15/21,31.0545,-97.5635,2840869,49359,9797.491582,22118906,1.737461319,76282.92446,6158775,3654353
Texas,4/16/21,31.0545,-97.5635,2843929,49441,9808.044805,22134217,1.738475187,76335.72851,6298033,3644162
Texas,4/17/21,31.0545,-97.5635,2847101,49510,9818.98429,22139311,1.738961842,76353.29653,6408763,3671372
Texas,4/18/21,31.0545,-97.5635,2849072,49562,9825.781807,22172916,1.739583977,76469.1923,6458707,3687523
