State,Category,Metric,Demo_Group,Demo_Specific,Estimate_type,April_2021,May_2021,June_2021,July_2021,August_2021,September_2021,October_2021
TX,Deaths,confirmed_probable,age,0_9,rate_percent,0.036644136,0.037350387,0.03971327,0.038849649,0.040939373,0.044733834,0.04594158
TX,Deaths,confirmed_probable,age,0_9,total_cumulative,17.5,18.5,20,20,22,27,31
TX,Deaths,confirmed_probable,age,10_19,rate_percent,0.068067705,0.066636306,0.065526896,0.067009617,0.068852581,0.08615405,0.100775079
TX,Deaths,confirmed_probable,age,10_19,total_cumulative,32.5,33,33,34.5,37,52,68
TX,Deaths,confirmed_probable,age,20_29,rate_percent,0.485850918,0.497708701,0.512301185,0.530249483,0.575012096,0.700830061,0.816574537
TX,Deaths,confirmed_probable,age,20_29,total_cumulative,232,246.5,258,273,309,423,551
TX,Deaths,confirmed_probable,age,30_39,rate_percent,1.625111731,1.671864208,1.707670618,1.746183207,1.883211136,2.3162185,2.67943151
TX,Deaths,confirmed_probable,age,30_39,total_cumulative,776,828,860,899,1012,1398,1808
TX,Deaths,confirmed_probable,age,40_49,rate_percent,4.773314959,4.904468813,4.968130101,5.091789731,5.337005471,6.078830956,6.769714125
TX,Deaths,confirmed_probable,age,40_49,total_cumulative,2279.5,2429,2502,2621.5,2868,3669,4568
TX,Deaths,confirmed_probable,age,50_59,rate_percent,11.04555084,11.21641516,11.32225333,11.46100879,11.66958205,12.37801746,13.01628703
TX,Deaths,confirmed_probable,age,50_59,total_cumulative,5274.5,5555,5702,5900.5,6271,7471,8783
TX,Deaths,confirmed_probable,age,60_69,rate_percent,21.38379618,21.54786257,21.56430571,21.62170039,21.67553686,21.72904551,22.0238007
TX,Deaths,confirmed_probable,age,60_69,total_cumulative,10210.5,10671.5,10860,11131.5,11648,13115,14861
TX,Deaths,confirmed_probable,age,70_79,rate_percent,26.75100849,26.6101139,26.58406306,26.53244063,26.316573,25.73355203,25.17894986
TX,Deaths,confirmed_probable,age,70_79,total_cumulative,12772.5,13178.5,13388,13659.5,14142,15532,16990
TX,Deaths,confirmed_probable,age,80_older,rate_percent,33.83065505,33.44757997,33.23603582,32.91076853,32.43328743,30.93261759,29.36852557
TX,Deaths,confirmed_probable,age,80_older,total_cumulative,16152,16564.5,16738,16943,17429,18670,19817
TX,Deaths,confirmed_probable,gender,female,rate_percent,41.9,41.95,41.9,41.9,41.9,41.8,41.8
TX,Deaths,confirmed_probable,gender,female,total_cumulative,20000,20750,21100,21600,22500,25200,28200
TX,Deaths,confirmed_probable,gender,male,rate_percent,58.1,58.05,58.1,58.05,58.1,58.2,58.2
TX,Deaths,confirmed_probable,gender,male,total_cumulative,27750,28750,29200,30350,31200,35100,39300
TX,Deaths,confirmed_probable,gender,unknown,rate_percent,0,0,0,0,0,0,0
TX,Deaths,confirmed_probable,gender,unknown,total_cumulative,0.5,1,1,1,1,1,1
TX,Deaths,confirmed_probable,race_ethnicity,all_races-hispanic_latino,rate_percent,46.4,46.5,46.5,46.35,45.9,44.9,44
TX,Deaths,confirmed_probable,race_ethnicity,all_races-hispanic_latino,total_cumulative,22150,23050,23400,23900,24700,27100,29700
TX,Deaths,confirmed_probable,race_ethnicity,asian-non_hispanic_latino,rate_percent,2.1,2.1,2.1,2.1,2.1,2,1.9
TX,Deaths,confirmed_probable,race_ethnicity,asian-non_hispanic_latino,total_cumulative,988.5,1050,1100,1100,1100,1200,1300
TX,Deaths,confirmed_probable,race_ethnicity,black_african_american-non_hispanic_latino,rate_percent,9.95,10.1,10.1,10.2,10.2,10.2,10.4
TX,Deaths,confirmed_probable,race_ethnicity,black_african_american-non_hispanic_latino,total_cumulative,4700,4950,5100,5250,5500,6100,7000
TX,Deaths,confirmed_probable,race_ethnicity,other-non_hispanic_latino,rate_percent,0.5,0.5,0.5,0.55,0.6,0.6,0.6
TX,Deaths,confirmed_probable,race_ethnicity,other-non_hispanic_latino,total_cumulative,258.5,269.5,273,283,299,318,394
TX,Deaths,confirmed_probable,race_ethnicity,unknown-unknown,rate_percent,0.1,0.05,0,0,0,0,0.1
TX,Deaths,confirmed_probable,race_ethnicity,unknown-unknown,total_cumulative,25,23,23,23,23,30,40
TX,Deaths,confirmed_probable,race_ethnicity,white-non_hispanic_latino,rate_percent,41,40.75,40.7,40.65,41.2,42.3,43.2
TX,Deaths,confirmed_probable,race_ethnicity,white-non_hispanic_latino,total_cumulative,19550,20200,20500,20950,22100,25600,29100
