ObjectId,Category,Category_Description,General_Population,At_Least_One_Dose,Fully_Vaccinated,Note,Date
1,5Cat Age Groups,16+,1506216,928327,647489,VA and DOD data included,2021/05/03 05:00:00+00
2,5Cat Age Groups,18+,1450476,913489,641399,VA and DOD data included,2021/05/03 05:00:00+00
3,5Cat Age Groups,18-49,898710,386006,254338,VA and DOD data not included,2021/05/03 05:00:00+00
4,5Cat Age Groups,50-64,320289,213275,160085,VA and DOD data not included,2021/05/03 05:00:00+00
5,5Cat Age Groups,65+,231377,188647,152643,VA and DOD data not included,2021/05/03 05:00:00+00
6,Gender,Female,769303,452554,325668,VA data included; DOD data not included,2021/05/03 05:00:00+00
7,Gender,Male,736913,385700,245673,VA data included; DOD data not included,2021/05/03 05:00:00+00
8,Gender,Other,,130,104,VA data included; DOD data not included,2021/05/03 05:00:00+00
9,Gender,Unknown,,2220,1756,VA data included; DOD data not included,2021/05/03 05:00:00+00
10,Race/Ethnicity,Hispanic,906742,359102,244211,VA data included; DOD data not included,2021/05/03 05:00:00+00
11,Race/Ethnicity,NH White,417222,258664,183951,VA data included; DOD data not included,2021/05/03 05:00:00+00
12,Race/Ethnicity,NH Asian,43680,23299,15997,VA data included; DOD data not included,2021/05/03 05:00:00+00
13,Race/Ethnicity,NH Black,115979,34713,20030,VA data included; DOD data not included,2021/05/03 05:00:00+00
14,Race/Ethnicity,NH Other,24099,79926,53914,VA data included; DOD data not included,2021/05/03 05:00:00+00
15,Race/Ethnicity,Unknown,,84900,55098,VA data included; DOD data not included,2021/05/03 05:00:00+00
16,5Cat Age Groups,16+,1506216,955976,719767,VA and DOD data included,2021/05/10 05:00:00+00
17,5Cat Age Groups,18+,1450476,940059,710933,VA and DOD data included,2021/05/10 05:00:00+00
18,5Cat Age Groups,18-49,898710,407315,294144,VA and DOD data not included,2021/05/10 05:00:00+00
19,5Cat Age Groups,50-64,320289,228782,174893,VA and DOD data not included,2021/05/10 05:00:00+00
20,5Cat Age Groups,65+,231377,212210,159720,VA and DOD data not included,2021/05/10 05:00:00+00
21,Gender,Female,769303,463869,358884,VA data included; DOD data not included,2021/05/10 05:00:00+00
22,Gender,Male,736913,398246,276825,VA data included; DOD data not included,2021/05/10 05:00:00+00
23,Gender,Other,,131,104,VA data included; DOD data not included,2021/05/10 05:00:00+00
